PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REGION	CHR_ID	CHR_POS	STRONGEST SNP-RISK ALLELE	SNPS	SNP_ID_CURRENT	CONTEXT	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	10q21.2	10	61707795	rs4590817-G	rs4590817	4590817.0	intron_variant	0.83	2e-18	17.7
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	10q24.33	10	103179458	rs11191593-T	rs11191593	11191593.0	intron_variant	0.94	1e-15	15.0
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	12q21.33	12	89666809	rs17249754-G	rs17249754	17249754.0	intron_variant	0.89	1e-17	17.0
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	12q24.12	12	111569952	rs653178-T	rs653178	653178.0	intron_variant	0.59	7e-20	19.15
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	15q24.1	15	74785026	rs1378942-C	rs1378942	1378942.0	intron_variant	0.33	2e-15	14.7
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	15q26.1	15	90894158	rs2521501-T	rs2521501	2521501.0	intron_variant	0.37	3e-08	7.52
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	20p12.2	20	10988382	rs1327235-G	rs1327235	1327235.0	intron_variant	0.58	4e-08	7.4
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	3p21.31	3	47885994	rs319690-T	rs319690	319690.0	intron_variant	0.51	3e-08	7.52
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	6p22.2	6	26107235	rs198846-G	rs198846	198846.0	intergenic_variant	0.86	2e-12	11.7
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	11p15.2	11	16880721	rs381815-T	rs381815	381815.0	intron_variant	0.3	3e-08	7.52
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	11p15.4	11	10328991	rs7129220-G	rs7129220	7129220.0	intron_variant	0.87	4e-07	6.4
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	10q24.32	10	103086421	rs11191548-T	rs11191548	11191548.0	3_prime_UTR_variant	0.94	8e-11	10.1
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	20q13.32	20	59176062	rs6015450-G	rs6015450	6015450.0	intron_variant	0.07	2e-06	5.7
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	5p13.3	5	32814922	rs1173771-G	rs1173771	1173771.0	regulatory_region_variant	0.53	5e-09	8.3
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	11p15.2	11	16880721	rs381815-T	rs381815	381815.0	intron_variant	0.3	7e-06	5.15
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	3p22.1	3	41835922	rs3774372-T	rs3774372	3774372.0	missense_variant	0.78	8e-07	6.1
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	4q21.21	4	80243569	rs1458038-T	rs1458038	1458038.0	intergenic_variant	0.3	3e-14	13.52
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	11q22.1	11	100722807	rs633185-G	rs633185	633185.0	intron_variant	0.32	7e-10	9.15
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	20q13.32	20	59176062	rs6015450-G	rs6015450	6015450.0	intron_variant	0.07	2e-12	11.7
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	17q21.32	17	46935905	rs17608766-T	rs17608766	17608766.0	3_prime_UTR_variant	0.91	2e-07	6.7
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	4q32.1	4	155724361	rs13139571-C	rs13139571	13139571.0	intron_variant	0.74	3e-07	6.52
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	3q26.2	3	169383098	rs419076-T	rs419076	419076.0	intron_variant	0.44	8e-13	12.1
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	1p13.2	1	112673921	rs2932538-G	rs2932538	2932538.0	intron_variant	0.74	8e-06	5.1
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	12q24.21	12	114914926	rs2384550-G	rs2384550	2384550.0	regulatory_region_variant	0.66	4e-06	5.4
21909110	Wain LV	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	74,064 European ancestry individuals	17q21.33	17	49325445	rs12940887-T	rs12940887	12940887.0	intron_variant	0.42	2e-07	6.7
21909107	LeMaire SA	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909107	Genome-wide association study identifies a susceptibility locus for thoracic aortic aneurysms and aortic dissections spanning FBN1 at 15q21.1.	Thoracic aortic aneurysms and dissections	765 European ancestry cases, 874 European ancestry controls	15q21.1	15	48622578	rs1036476-?	rs1036476	1036476.0	intron_variant	NR	6e-13	12.22
21909108	Bis JC	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909108	Meta-analysis of genome-wide association studies from the CHARGE consortium identifies common variants associated with carotid intima media thickness and plaque.	Carotid intima media thickness	Up to 31,211 European ancestry individuals	8q24.13	8	122395852	rs11781551-A	rs11781551	11781551.0	intergenic_variant	0.48	2e-11	10.7
21909108	Bis JC	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909108	Meta-analysis of genome-wide association studies from the CHARGE consortium identifies common variants associated with carotid intima media thickness and plaque.	Carotid intima media thickness	Up to 31,211 European ancestry individuals	19q13.32	19	44912383	rs445925-A	rs445925	445925.0	non_coding_transcript_exon_variant	0.11	2e-08	7.7
21909108	Bis JC	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909108	Meta-analysis of genome-wide association studies from the CHARGE consortium identifies common variants associated with carotid intima media thickness and plaque.	Carotid intima media thickness	Up to 31,211 European ancestry individuals	8p23.1	8	10813762	rs6601530-G	rs6601530	6601530.0	intron_variant	0.45	2e-08	7.7
21909108	Bis JC	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909108	Meta-analysis of genome-wide association studies from the CHARGE consortium identifies common variants associated with carotid intima media thickness and plaque.	Carotid intima media thickness	Up to 31,211 European ancestry individuals	6p22.2	6	25771819	rs4712972-A	rs4712972	4712972.0	intron_variant	NR	8e-08	7.1
21909108	Bis JC	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909108	Meta-analysis of genome-wide association studies from the CHARGE consortium identifies common variants associated with carotid intima media thickness and plaque.	Carotid intima media thickness	Up to 31,211 European ancestry individuals	7q22.3	7	106769006	rs17398575-A	rs17398575	17398575.0	intron_variant	0.25	2e-12	11.7
21909108	Bis JC	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909108	Meta-analysis of genome-wide association studies from the CHARGE consortium identifies common variants associated with carotid intima media thickness and plaque.	Carotid intima media thickness	Up to 31,211 European ancestry individuals	4q31.22	4	147472512	rs1878406-T	rs1878406	1878406.0	intergenic_variant	0.13	7e-12	11.15
21909108	Bis JC	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909108	Meta-analysis of genome-wide association studies from the CHARGE consortium identifies common variants associated with carotid intima media thickness and plaque.	Carotid intima media thickness	Up to 31,211 European ancestry individuals	19p13.2	19	11091630	rs6511720-T	rs6511720	6511720.0	intron_variant	NR	1e-07	7.0
21909108	Bis JC	2011-09-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21909108	Meta-analysis of genome-wide association studies from the CHARGE consortium identifies common variants associated with carotid intima media thickness and plaque.	Carotid intima media thickness	Up to 31,211 European ancestry individuals	3p14.1	3	66717940	rs17045031-A	rs17045031	17045031.0	intergenic_variant	NR	4e-07	6.4
21926974	Ripke S	2011-09-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21926974	Genome-wide association study identifies five new schizophrenia loci.	Schizophrenia	9,394 European ancestry cases, 12,462 European ancestry controls	10q21.2	10	60586880	rs16915157-?	rs16915157	16915157.0	intron_variant	NR	5e-06	5.3
21926974	Ripke S	2011-09-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21926974	Genome-wide association study identifies five new schizophrenia loci.	Schizophrenia	9,394 European ancestry cases, 12,462 European ancestry controls	10q24.32	10	103016151	rs7914558-G	rs7914558	7914558.0	intron_variant	0.59	2e-08	7.7
21926974	Ripke S	2011-09-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21926974	Genome-wide association study identifies five new schizophrenia loci.	Schizophrenia	9,394 European ancestry cases, 12,462 European ancestry controls	10q24.33	10	103146454	rs11191580-T	rs11191580	11191580.0	intron_variant	0.91	3e-08	7.52
21926974	Ripke S	2011-09-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21926974	Genome-wide association study identifies five new schizophrenia loci.	Schizophrenia	9,394 European ancestry cases, 12,462 European ancestry controls	11p15.1	11	17138601	rs4356203-?	rs4356203	4356203.0	intron_variant	NR	1e-07	7.0
21926974	Ripke S	2011-09-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21926974	Genome-wide association study identifies five new schizophrenia loci.	Schizophrenia	9,394 European ancestry cases, 12,462 European ancestry controls	11q24.2	11	125591814	rs548181-G	rs548181	548181.0	5_prime_UTR_variant	0.88	1e-06	6.0
21926974	Ripke S	2011-09-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21926974	Genome-wide association study identifies five new schizophrenia loci.	Schizophrenia	9,394 European ancestry cases, 12,462 European ancestry controls	11q25	11	130960853	rs10894294-?	rs10894294	10894294.0	intergenic_variant	NR	3e-06	5.52
21926974	Ripke S	2011-09-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21926974	Genome-wide association study identifies five new schizophrenia loci.	Schizophrenia	9,394 European ancestry cases, 12,462 European ancestry controls	12p13.33	12	2240418	rs4765905-?	rs4765905	4765905.0	intron_variant	NR	2e-06	5.7
21926974	Ripke S	2011-09-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21926974	Genome-wide association study identifies five new schizophrenia loci.	Schizophrenia	9,394 European ancestry cases, 12,462 European ancestry controls	15q15.1	15	40303426	rs1869901-?	rs1869901	1869901.0	intron_variant	NR	3e-06	5.52
21926974	Ripke S	2011-09-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21926974	Genome-wide association study identifies five new schizophrenia loci.	Schizophrenia	9,394 European ancestry cases, 12,462 European ancestry controls	15q22.2	15	61547904	rs4775413-?	rs4775413	4775413.0	intron_variant	NR	2e-06	5.7
21926974	Ripke S	2011-09-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21926974	Genome-wide association study identifies five new schizophrenia loci.	Schizophrenia	9,394 European ancestry cases, 12,462 European ancestry controls	18q21.2	18	55084786	rs12966547-G	rs12966547	12966547.0	regulatory_region_variant	0.58	3e-08	7.52
21926974	Ripke S	2011-09-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21926974	Genome-wide association study identifies five new schizophrenia loci.	Schizophrenia	9,394 European ancestry cases, 12,462 European ancestry controls	18q21.2	18	55527730	rs17512836-C	rs17512836	17512836.0	intron_variant	0.02	1e-06	6.0
21926974	Ripke S	2011-09-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21926974	Genome-wide association study identifies five new schizophrenia loci.	Schizophrenia	9,394 European ancestry cases, 12,462 European ancestry controls	1p21.3	1	98037378	rs1625579-T	rs1625579	1625579.0	intron_variant	0.8	2e-11	10.7
21926974	Ripke S	2011-09-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21926974	Genome-wide association study identifies five new schizophrenia loci.	Schizophrenia	9,394 European ancestry cases, 12,462 European ancestry controls	1p35.2	1	29958713	rs1009080-?	rs1009080	1009080.0	intergenic_variant	NR	3e-06	5.52
21926974	Ripke S	2011-09-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21926974	Genome-wide association study identifies five new schizophrenia loci.	Schizophrenia	9,394 European ancestry cases, 12,462 European ancestry controls	1p36.23	1	8362616	rs2252865-?	rs2252865	2252865.0	intron_variant	NR	3e-06	5.52
21926974	Ripke S	2011-09-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21926974	Genome-wide association study identifies five new schizophrenia loci.	Schizophrenia	9,394 European ancestry cases, 12,462 European ancestry controls	1q43	1	243445665	rs6703335-?	rs6703335	6703335.0	intron_variant	NR	5e-08	7.3
21926974	Ripke S	2011-09-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21926974	Genome-wide association study identifies five new schizophrenia loci.	Schizophrenia	9,394 European ancestry cases, 12,462 European ancestry controls	2q32.3	2	193119895	rs17662626-A	rs17662626	17662626.0	intergenic_variant	0.91	5e-08	7.3
